dataType,category,identifier,metric,period,value,unit
inventory,bacon-jam, B08QRHYV43 , current-stock , current ,21, units 
inventory,bacon-jam, B07MFR2F5F , current-stock , current ,236, units 
inventory,bacon-jam, B07ZS7F85G , current-stock , current ,79, units 
inventory,bacon-jam, B08N1K437Y , current-stock , current ,22, units 
inventory,bacon-jam, B07YYTJX3H , current-stock , current ,194, units 
inventory,bacon-jam, B07YYT6CT9 , current-stock , current ,25, units 
inventory,bacon-jam, B08MBDVH8C , current-stock , current ,83, units 
inventory,bacon-jam, B081VV9NWR , current-stock , current ,26, units 
inventory,bacon-jam, B0743HKFBM , current-stock , current ,47, units 
inventory,bacon-jam, B08MBC3445 , current-stock , current ,41, units 
inventory,bacon-jam, B08MFSVDVF , current-stock , current ,48, units 
inventory,bacon-jam, B08MBC9F35 , current-stock , current ,41, units 
inventory,bacon-jam, B08N1JYC2K , current-stock , current ,10, units 
inventory,bacon-jam, B08LP31K4W , current-stock , current ,10, units 
inventory,bacon-jam, B08LQ14SLL , current-stock , current ,11, units 
inventory,bacon-jam, B0743JDCCP , current-stock , current ,57, units 
inventory,bacon-jam, B0743JDQMW , current-stock , current ,66, units 
inventory,bacon-jam, B09N2WS6P8 , current-stock , current ,6, units 
inventory,bacon-jam, B08QRHYV43 , sku , current ,KIT1-FBA-1, text 
inventory,bacon-jam, B07MFR2F5F , sku , current ,CLS9-FBA-1, text 
inventory,bacon-jam, B07ZS7F85G , sku , current ,CLS9-FBA-3 / FBM-3, text 
inventory,bacon-jam, B08N1K437Y , sku , current ,MBJ9xC3-FBA_, text 
inventory,bacon-jam, B07YYTJX3H , sku , current ,STJ9-FBA-1, text 
inventory,bacon-jam, B07YYT6CT9 , sku , current ,STJ9-FBA-3, text 
inventory,bacon-jam, B08MBDVH8C , sku , current ,MBJ9xC1-FBA, text 
inventory,bacon-jam, B081VV9NWR , sku , current ,GPS5xC1-FBA, text 
inventory,bacon-jam, B0743HKFBM , sku , current ,CLS/PEP/SWC9-FBA-3, text 
inventory,bacon-jam, B08MBC3445 , sku , current ,BSB5xC1-FBA, text 
inventory,bacon-jam, B08MFSVDVF , sku , current ,HHJ9xC1-FBA, text 
inventory,bacon-jam, B08MBC9F35 , sku , current ,MBS2xC1-FBA, text 
inventory,bacon-jam, B08N1JYC2K , sku , current ,HHJ9xC3-FBA_, text 
inventory,bacon-jam, B08LP31K4W , sku , current ,SWC9-FBA-3, text 
inventory,bacon-jam, B08LQ14SLL , sku , current ,PEP9-FBA-3, text 
inventory,bacon-jam, B0743JDCCP , sku , current ,PEP9-FBA-1, text 
inventory,bacon-jam, B0743JDQMW , sku , current ,SWC9-FBA-1, text 
inventory,bacon-jam, B09N2WS6P8 , sku , current ,Seasoning 3 Pk, text 
inventory,bacon-jam, B08QRHYV43 , product-title , current ,Bacon Jam Emergency Kit, text 
inventory,bacon-jam, B07MFR2F5F , product-title , current ,Classic Bacon Jam - 1 x 9 oz, text 
inventory,bacon-jam, B07ZS7F85G , product-title , current ,Classic Bacon Jam - 3 x 9 oz, text 
inventory,bacon-jam, B08N1K437Y , product-title , current ,Maple Bacon Jam - 3 x 9 oz, text 
inventory,bacon-jam, B07YYTJX3H , product-title , current ,Spiced Tomato Jam -1 x 9 oz, text 
inventory,bacon-jam, B07YYT6CT9 , product-title , current ,Spiced Tomato Jam - 3 x 9 oz, text 
inventory,bacon-jam, B08MBDVH8C , product-title , current ,Maple Bacon Jam - 1 x 9 oz, text 
inventory,bacon-jam, B081VV9NWR , product-title , current ,Himalayan Ghost Salt 1 x 5.2 Oz, text 
inventory,bacon-jam, B0743HKFBM , product-title , current ,Bacon Jam Variety Pack - 3 x 9 oz, text 
inventory,bacon-jam, B08MBC3445 , product-title , current ,Smoked Bacon Salt 1 x 4.9 oz, text 
inventory,bacon-jam, B08MFSVDVF , product-title , current ,Honey Habanero Bacon Jam - 1 x 9 oz, text 
inventory,bacon-jam, B08MBC9F35 , product-title , current ,Smoked Bacon Maple Sugar 1 x 2.3 oz, text 
inventory,bacon-jam, B08N1JYC2K , product-title , current ,Honey Habanero Bacon Jam - 3 x 9 oz, text 
inventory,bacon-jam, B08LP31K4W , product-title , current ,Sweet Chili Bacon Jam - 3 x 9 oz, text 
inventory,bacon-jam, B08LQ14SLL , product-title , current ,Black Peppercorn Bacon Jam - 3 x 9 oz, text 
